Year,Current Western Conference ,Record,Standing (West/East),Offensive Rating,Defensive Rating,Net Rating (ORTG - DRTG),Assists Per Game (APG),Pace,True Shooting % (TS%),Effective FG % (eFG%),Turnover Ratio (TOV%),Offensive Rebound %,Opponent eFG% (for defensive efficiency)
2005,Phoenix Suns,62-20,1st in Western Conference,114.5,107.1,7.4,24.5,95.9,56.40%,52.60%,14.80%,26.20%,50.20%
2005,San Antonio Spurs,59-23,2nd in Western Conference,107.5,98.8,8.7,20.9,88.9,52.60%,49.90%,14.50%,30.20%,45.00%
2005,Seattle SuperSonics,52-30,3rd in Western Conference,112.2,109.6,2.6,20.3,87.9,54.10%,51.80%,14.20%,28.50%,49.50%
2005,Miami Heat,59-23,1st in Eastern Conference,110.2,103.1,7.1,20.5,90.8,55.30%,51.90%,13.90%,29.00%,47.80%
2005,Detroit Pistons,54-28,2nd in Eastern Conference,105.6,101.2,4.4,18.8,87.2,52.10%,48.70%,13.50%,31.50%,44.20%
2005,Boston Celtics,45-37,3rd in Eastern Conference,107.5,106.6,0.9,22.1,93.3,53.00%,49.80%,16.60%,26.80%,48.10%
