team,season,o_rtg,d_rtg,n_rtg,ast_per_game,pace,ts_percent,e_fg_percent,tov_percent,orb_percent,opp_e_fg_percent,w,l
Boston Celtics,1986,111.8,102.6,9.2,29.1,101.2,0.564,0.518,14.1,31.3,0.466,67.0,15.0
Chicago Bulls,1986,108.6,112.4,-3.8,24.5,99.7,0.538,0.487,14.7,35.1,0.509,30.0,52.0
Cleveland Cavaliers,1986,105.5,108.3,-2.8,25.2,101.6,0.535,0.49,14.6,30.3,0.48,29.0,53.0
Dallas Mavericks,1986,112.1,111.0,1.1,25.7,102.2,0.562,0.51,13.3,30.0,0.508,44.0,38.0
Denver Nuggets,1986,107.1,105.9,1.2,26.1,106.7,0.527,0.475,13.0,30.9,0.495,47.0,35.0
Detroit Pistons,1986,109.0,107.9,1.1,28.3,104.2,0.534,0.488,13.3,33.5,0.496,46.0,36.0
Golden State Warriors,1986,108.3,111.6,-3.3,24.6,104.2,0.536,0.488,13.9,33.5,0.524,30.0,52.0
Houston Rockets,1986,110.1,107.6,2.5,28.3,103.5,0.536,0.496,13.6,35.5,0.497,51.0,31.0
Indiana Pacers,1986,102.6,105.9,-3.3,26.3,100.9,0.525,0.483,15.7,31.5,0.479,26.0,56.0
Los Angeles Clippers,1986,105.4,112.1,-6.7,24.0,102.7,0.534,0.477,15.3,32.0,0.512,32.0,50.0
Los Angeles Lakers,1986,113.3,105.8,7.5,29.7,102.7,0.575,0.532,14.9,33.1,0.484,62.0,20.0
Milwaukee Bucks,1986,111.4,102.7,8.7,26.3,102.1,0.552,0.501,13.9,33.8,0.473,57.0,25.0
New Jersey Nets,1986,105.0,106.9,-1.9,26.0,103.3,0.536,0.489,15.9,33.3,0.499,39.0,43.0
New York Knicks,1986,99.5,105.2,-5.7,22.9,98.6,0.505,0.466,15.2,29.5,0.484,23.0,59.0
Philadelphia 76ers,1986,108.6,106.3,2.3,24.6,100.5,0.546,0.49,16.1,37.3,0.499,54.0,28.0
Phoenix Suns,1986,104.3,107.2,-2.9,27.7,104.8,0.552,0.506,17.7,31.3,0.495,32.0,50.0
Portland Trail Blazers,1986,109.2,108.2,1.0,26.6,104.5,0.554,0.501,15.2,32.8,0.507,40.0,42.0
Sacramento Kings,1986,106.2,109.2,-3.0,28.1,102.0,0.541,0.492,15.7,32.7,0.499,37.0,45.0
San Antonio Spurs,1986,106.5,108.2,-1.7,27.6,103.8,0.555,0.509,16.5,31.7,0.499,35.0,47.0
Seattle SuperSonics,1986,105.9,106.0,-0.1,24.1,97.4,0.53,0.478,15.1,33.2,0.492,31.0,51.0
Utah Jazz,1986,104.2,104.6,-0.4,26.8,103.3,0.536,0.49,15.5,29.8,0.477,42.0,40.0
Washington Bullets,1986,103.0,104.8,-1.8,21.3,99.1,0.518,0.471,14.2,29.1,0.472,39.0,43.0
Atlanta Hawks,1985,105.9,107.3,-1.4,24.5,99.8,0.536,0.489,15.3,32.5,0.485,34.0,48.0
Boston Celtics,1985,112.8,106.3,6.5,27.9,101.6,0.564,0.515,13.8,32.8,0.481,63.0,19.0
Chicago Bulls,1985,108.7,109.6,-0.9,24.3,99.4,0.556,0.502,15.4,32.2,0.495,38.0,44.0
Cleveland Cavaliers,1985,106.0,108.7,-2.7,25.6,101.9,0.526,0.478,14.1,32.9,0.483,36.0,46.0
Dallas Mavericks,1985,111.5,109.3,2.2,26.2,98.8,0.549,0.499,12.5,30.7,0.51,44.0,38.0
Denver Nuggets,1985,110.7,108.4,2.3,27.6,107.6,0.54,0.491,13.2,33.6,0.516,52.0,30.0
Detroit Pistons,1985,109.6,107.2,2.4,28.1,105.0,0.529,0.483,13.0,35.4,0.501,46.0,36.0
Golden State Warriors,1985,106.0,113.0,-7.0,21.5,103.2,0.522,0.47,14.4,34.5,0.54,22.0,60.0
Houston Rockets,1985,107.9,106.3,1.6,27.3,102.2,0.54,0.507,16.0,37.4,0.487,48.0,34.0
Indiana Pacers,1985,102.5,108.4,-5.9,23.7,105.1,0.527,0.478,16.1,31.7,0.499,22.0,60.0
Kansas City Kings,1985,109.5,112.1,-2.6,28.6,104.4,0.559,0.508,15.9,34.0,0.514,31.0,51.0
Los Angeles Clippers,1985,105.8,110.3,-4.5,23.6,100.9,0.543,0.499,16.4,33.8,0.495,31.0,51.0
Los Angeles Lakers,1985,114.1,107.0,7.1,31.4,103.2,0.589,0.551,15.7,33.8,0.485,62.0,20.0
Milwaukee Bucks,1985,110.5,103.6,6.9,26.4,99.7,0.545,0.497,14.2,35.4,0.467,59.0,23.0
New Jersey Nets,1985,107.9,107.7,0.2,26.4,101.0,0.532,0.493,13.8,33.9,0.505,42.0,40.0
New York Knicks,1985,104.9,109.6,-4.7,24.4,99.5,0.53,0.487,15.2,31.7,0.499,24.0,58.0
Philadelphia 76ers,1985,111.3,107.3,4.0,24.4,100.8,0.561,0.497,16.0,37.4,0.494,58.0,24.0
Phoenix Suns,1985,104.7,106.8,-2.1,28.5,102.5,0.544,0.497,16.3,29.8,0.498,36.0,46.0
Portland Trail Blazers,1985,110.4,107.2,3.2,27.1,103.5,0.554,0.506,14.8,34.0,0.497,42.0,40.0
San Antonio Spurs,1985,109.9,109.0,0.9,28.2,103.9,0.565,0.517,15.6,33.2,0.501,41.0,41.0
Seattle SuperSonics,1985,102.8,108.2,-5.4,26.6,99.3,0.529,0.477,15.9,30.0,0.498,31.0,51.0
Utah Jazz,1985,103.3,103.4,-0.1,26.1,105.1,0.534,0.483,15.8,29.0,0.469,41.0,41.0
Washington Bullets,1985,104.3,104.6,-0.3,25.5,100.3,0.524,0.486,13.4,27.5,0.491,40.0,42.0
Atlanta Hawks,1984,105.5,106.9,-1.4,22.3,95.3,0.529,0.476,14.4,31.6,0.482,40.0,42.0
Boston Celtics,1984,110.9,104.4,6.5,25.9,99.7,0.554,0.504,14.6,34.2,0.475,62.0,20.0
Chicago Bulls,1984,102.4,107.5,-5.1,25.5,99.8,0.526,0.475,16.3,32.3,0.497,27.0,55.0
Cleveland Cavaliers,1984,104.1,108.5,-4.4,23.5,97.4,0.512,0.468,14.0,33.5,0.49,28.0,54.0
Dallas Mavericks,1984,110.0,109.6,0.4,26.4,99.0,0.547,0.503,13.6,31.7,0.503,43.0,39.0
Denver Nuggets,1984,111.3,112.3,-1.0,30.3,110.5,0.553,0.498,12.8,29.3,0.522,38.0,44.0
Detroit Pistons,1984,111.5,108.1,3.4,27.5,103.8,0.532,0.482,12.7,36.7,0.5,49.0,33.0
Golden State Warriors,1984,105.5,108.8,-3.3,22.4,103.3,0.52,0.471,14.9,35.6,0.519,37.0,45.0
Houston Rockets,1984,105.3,108.2,-2.9,26.9,104.7,0.535,0.497,15.6,32.8,0.486,29.0,53.0
Indiana Pacers,1984,101.8,106.5,-4.7,26.5,102.1,0.531,0.487,15.9,28.1,0.497,26.0,56.0
Kansas City Kings,1984,106.5,108.0,-1.5,27.2,102.9,0.542,0.49,15.3,32.4,0.505,38.0,44.0
Los Angeles Lakers,1984,110.9,107.3,3.6,29.9,103.7,0.574,0.536,16.1,33.7,0.487,54.0,28.0
Milwaukee Bucks,1984,107.8,103.6,4.2,25.8,96.9,0.541,0.497,15.0,33.7,0.459,50.0,32.0
New Jersey Nets,1984,106.1,105.0,1.1,26.2,103.0,0.54,0.501,16.1,34.6,0.494,45.0,37.0
New York Knicks,1984,107.0,103.1,3.9,24.9,99.0,0.552,0.499,16.7,33.4,0.491,47.0,35.0
Philadelphia 76ers,1984,106.8,104.6,2.2,24.8,99.6,0.551,0.497,16.9,34.6,0.484,52.0,30.0
Phoenix Suns,1984,108.9,108.0,0.9,27.0,101.4,0.556,0.514,15.1,31.4,0.501,41.0,41.0
Portland Trail Blazers,1984,111.2,107.7,3.5,25.4,101.1,0.556,0.507,15.1,36.4,0.518,48.0,34.0
San Antonio Spurs,1984,111.2,111.4,-0.2,28.8,106.5,0.556,0.511,14.0,33.4,0.508,37.0,45.0
San Diego Clippers,1984,109.2,112.4,-3.2,24.2,101.1,0.541,0.498,15.3,37.7,0.513,30.0,52.0
Seattle SuperSonics,1984,107.9,108.1,-0.2,27.2,99.7,0.543,0.49,14.3,30.7,0.492,42.0,40.0
Utah Jazz,1984,109.0,108.0,1.0,27.2,104.9,0.559,0.505,15.2,30.8,0.479,45.0,37.0
Washington Bullets,1984,104.2,107.2,-3.0,26.7,97.4,0.535,0.489,15.5,30.1,0.492,35.0,47.0
Atlanta Hawks,1983,102.2,103.2,-1.0,23.7,98.9,0.516,0.472,15.0,30.7,0.473,43.0,39.0
Boston Celtics,1983,106.9,101.8,5.1,27.0,104.0,0.536,0.494,15.2,34.7,0.473,56.0,26.0
Chicago Bulls,1983,103.4,108.0,-4.6,25.4,106.1,0.532,0.483,16.9,34.0,0.498,28.0,54.0
Cleveland Cavaliers,1983,99.2,106.8,-7.6,21.2,97.6,0.506,0.467,16.4,33.0,0.492,23.0,59.0
Dallas Mavericks,1983,109.4,109.8,-0.4,27.2,102.8,0.535,0.489,13.5,34.8,0.506,38.0,44.0
Denver Nuggets,1983,109.7,109.1,0.6,28.5,112.1,0.55,0.495,14.0,31.0,0.509,45.0,37.0
Detroit Pistons,1983,105.4,105.8,-0.4,25.7,105.8,0.529,0.481,15.1,33.6,0.496,37.0,45.0
Golden State Warriors,1983,103.9,107.4,-3.5,24.0,104.0,0.526,0.485,15.9,33.9,0.513,30.0,52.0
Houston Rockets,1983,97.0,108.3,-11.3,23.5,102.2,0.491,0.453,15.9,30.8,0.505,14.0,68.0
Indiana Pacers,1983,103.8,109.4,-5.6,26.2,103.9,0.52,0.483,15.2,33.6,0.52,20.0,62.0
Kansas City Kings,1983,106.2,104.9,1.3,26.3,106.6,0.542,0.5,16.4,34.3,0.49,45.0,37.0
Los Angeles Lakers,1983,110.5,105.2,5.3,30.7,103.8,0.561,0.528,15.9,36.3,0.494,58.0,24.0
Milwaukee Bucks,1983,105.8,101.4,4.4,25.8,100.0,0.537,0.491,15.1,31.8,0.459,51.0,31.0
New Jersey Nets,1983,101.6,98.9,2.7,26.1,104.0,0.532,0.494,18.7,36.8,0.481,49.0,33.0
New York Knicks,1983,102.4,99.9,2.5,24.8,97.0,0.526,0.484,16.2,31.6,0.478,44.0,38.0
Philadelphia 76ers,1983,108.3,100.9,7.4,24.6,102.7,0.549,0.501,16.3,37.1,0.464,65.0,17.0
Phoenix Suns,1983,105.1,100.1,5.0,28.0,101.6,0.54,0.499,16.0,32.0,0.458,53.0,29.0
Portland Trail Blazers,1983,106.0,103.9,2.1,24.8,101.0,0.535,0.488,15.4,33.3,0.49,46.0,36.0
San Antonio Spurs,1983,110.1,106.6,3.5,27.6,103.3,0.556,0.51,15.1,35.3,0.489,53.0,29.0
San Diego Clippers,1983,104.7,109.3,-4.6,25.5,103.0,0.518,0.479,15.7,37.1,0.531,25.0,57.0
Seattle SuperSonics,1983,105.9,102.8,3.1,27.8,103.2,0.539,0.496,15.5,32.5,0.464,48.0,34.0
Utah Jazz,1983,101.2,105.1,-3.9,26.5,107.3,0.531,0.483,16.7,29.0,0.481,30.0,52.0
Washington Bullets,1983,99.1,99.3,-0.2,25.0,99.4,0.511,0.473,16.6,30.4,0.471,42.0,40.0
Atlanta Hawks,1982,105.1,104.6,0.5,22.1,95.1,0.529,0.476,14.6,32.2,0.473,42.0,40.0
Boston Celtics,1982,109.8,103.5,6.3,25.9,101.5,0.545,0.502,14.7,35.8,0.472,63.0,19.0
Chicago Bulls,1982,106.6,108.6,-2.0,24.9,99.0,0.557,0.505,17.3,33.6,0.499,34.0,48.0
Cleveland Cavaliers,1982,103.3,111.8,-8.5,22.8,99.3,0.51,0.466,13.7,32.0,0.515,15.0,67.0
Dallas Mavericks,1982,105.9,110.4,-4.5,25.8,98.5,0.519,0.473,13.7,33.9,0.51,28.0,54.0
Denver Nuggets,1982,114.3,113.9,0.4,27.7,109.8,0.578,0.522,14.1,31.8,0.528,46.0,36.0
Detroit Pistons,1982,105.8,106.6,-0.8,24.7,104.3,0.534,0.485,16.0,34.8,0.512,39.0,43.0
Golden State Warriors,1982,108.8,107.7,1.1,22.2,101.4,0.541,0.502,14.5,34.8,0.493,45.0,37.0
Houston Rockets,1982,108.3,108.3,0.0,24.1,97.2,0.52,0.479,13.7,37.8,0.5,46.0,36.0
Indiana Pacers,1982,102.7,104.6,-1.9,23.1,98.7,0.516,0.472,14.6,30.5,0.494,35.0,47.0
Kansas City Kings,1982,104.2,107.2,-3.0,25.1,101.8,0.533,0.497,15.5,29.9,0.504,30.0,52.0
Los Angeles Lakers,1982,110.2,105.5,4.7,28.7,103.1,0.551,0.518,14.7,35.8,0.493,57.0,25.0
Milwaukee Bucks,1982,107.7,102.3,5.4,27.2,100.0,0.553,0.509,16.5,35.1,0.471,55.0,27.0
New Jersey Nets,1982,103.0,102.3,0.7,25.6,103.1,0.529,0.487,16.6,33.7,0.486,44.0,38.0
New York Knicks,1982,106.0,108.6,-2.6,25.3,99.5,0.535,0.495,15.4,33.1,0.508,33.0,49.0
Philadelphia 76ers,1982,109.6,103.9,5.7,27.6,100.6,0.566,0.521,15.5,30.5,0.48,58.0,24.0
Phoenix Suns,1982,105.8,102.4,3.4,27.1,99.5,0.538,0.495,15.9,32.2,0.47,46.0,36.0
Portland Trail Blazers,1982,108.8,108.2,0.6,25.0,100.5,0.547,0.507,14.4,32.5,0.502,42.0,40.0
San Antonio Spurs,1982,109.9,107.6,2.3,27.5,102.5,0.537,0.49,13.0,34.0,0.487,48.0,34.0
San Diego Clippers,1982,106.6,113.8,-7.2,22.9,101.4,0.547,0.507,16.2,33.2,0.529,17.0,65.0
Seattle SuperSonics,1982,106.4,102.3,4.1,25.6,100.0,0.535,0.491,14.1,31.3,0.464,52.0,30.0
Utah Jazz,1982,106.2,111.7,-5.5,23.1,103.9,0.538,0.496,14.5,30.6,0.513,25.0,57.0
Washington Bullets,1982,103.3,102.5,0.8,24.2,99.4,0.524,0.478,14.7,29.4,0.468,43.0,39.0
Atlanta Hawks,1981,104.3,107.3,-3.0,22.5,99.4,0.537,0.48,16.7,34.1,0.498,31.0,51.0
Boston Celtics,1981,108.4,102.6,5.8,26.9,100.8,0.553,0.509,16.2,34.7,0.464,62.0,20.0
Chicago Bulls,1981,107.8,105.8,2.0,23.5,100.6,0.556,0.504,17.2,36.9,0.493,45.0,37.0
Cleveland Cavaliers,1981,104.3,109.1,-4.8,24.5,100.8,0.513,0.472,14.2,33.5,0.507,28.0,54.0
Dallas Mavericks,1981,102.4,110.8,-8.4,24.2,98.6,0.519,0.466,15.2,30.7,0.516,15.0,67.0
Denver Nuggets,1981,109.4,109.8,-0.4,24.8,109.8,0.537,0.477,13.4,33.1,0.509,37.0,45.0
Detroit Pistons,1981,98.1,104.3,-6.2,22.2,101.2,0.51,0.464,18.0,33.4,0.512,21.0,61.0
Golden State Warriors,1981,108.5,109.7,-1.2,24.7,101.0,0.537,0.493,15.6,38.8,0.507,39.0,43.0
Houston Rockets,1981,107.0,106.7,0.3,25.6,100.5,0.534,0.489,14.9,33.9,0.496,40.0,42.0
Indiana Pacers,1981,106.4,105.0,1.4,25.5,100.9,0.528,0.484,15.1,35.5,0.492,44.0,38.0
Kansas City Kings,1981,104.7,104.7,0.0,27.7,101.3,0.54,0.503,15.1,29.2,0.483,40.0,42.0
Los Angeles Lakers,1981,107.6,103.9,3.7,28.8,102.7,0.548,0.513,15.8,33.9,0.468,54.0,28.0
Milwaukee Bucks,1981,108.7,101.8,6.9,28.3,103.6,0.546,0.5,15.7,36.3,0.461,60.0,22.0
New Jersey Nets,1981,101.0,106.7,-5.7,25.2,105.2,0.525,0.478,16.6,30.4,0.506,24.0,58.0
New York Knicks,1981,106.0,104.4,1.6,24.1,101.0,0.533,0.487,15.0,31.6,0.504,50.0,32.0
Philadelphia 76ers,1981,107.0,99.5,7.5,28.9,103.4,0.562,0.515,17.3,32.3,0.454,62.0,20.0
Phoenix Suns,1981,104.6,99.4,5.2,26.9,104.7,0.537,0.492,17.1,35.1,0.471,57.0,25.0
Portland Trail Blazers,1981,106.5,105.7,0.8,27.4,103.0,0.534,0.498,15.2,33.9,0.49,45.0,37.0
San Antonio Spurs,1981,108.5,105.7,2.8,25.0,102.9,0.545,0.492,15.4,37.5,0.475,52.0,30.0
San Diego Clippers,1981,106.0,107.6,-1.6,25.6,100.2,0.528,0.486,14.5,33.0,0.507,36.0,46.0
Seattle SuperSonics,1981,103.2,104.8,-1.6,23.7,100.3,0.521,0.47,15.7,33.1,0.468,34.0,48.0
Utah Jazz,1981,103.4,109.4,-6.0,23.8,97.7,0.536,0.491,15.5,28.3,0.492,28.0,54.0
Washington Bullets,1981,102.7,102.7,0.0,26.2,102.4,0.514,0.476,14.4,30.5,0.472,39.0,43.0
Atlanta Hawks,1980,105.2,102.3,2.9,23.3,98.9,0.523,0.465,15.4,36.9,0.461,50.0,32.0
Boston Celtics,1980,109.4,101.9,7.5,26.8,102.6,0.55,0.501,15.4,34.8,0.475,61.0,21.0
Chicago Bulls,1980,104.3,107.0,-2.7,26.2,101.8,0.545,0.489,17.2,32.2,0.5,30.0,52.0
Cleveland Cavaliers,1980,106.7,106.4,0.3,25.7,105.6,0.519,0.476,13.2,33.1,0.505,37.0,45.0
Denver Nuggets,1980,103.4,107.6,-4.2,25.4,103.9,0.517,0.469,15.1,33.6,0.497,30.0,52.0
Detroit Pistons,1980,101.2,108.8,-7.6,23.8,107.1,0.523,0.483,16.9,32.3,0.499,16.0,66.0
Golden State Warriors,1980,102.0,106.3,-4.3,24.7,100.5,0.52,0.484,15.5,31.1,0.498,24.0,58.0
Houston Rockets,1980,108.1,108.0,0.1,26.2,101.2,0.533,0.487,15.5,37.6,0.499,41.0,41.0
Indiana Pacers,1980,105.5,106.2,-0.7,26.2,104.4,0.523,0.479,14.8,35.4,0.493,37.0,45.0
Kansas City Kings,1980,104.0,101.0,3.0,25.9,103.2,0.522,0.48,14.5,31.0,0.479,47.0,35.0
Los Angeles Lakers,1980,109.5,103.9,5.6,29.4,104.1,0.569,0.53,16.5,32.6,0.475,60.0,22.0
Milwaukee Bucks,1980,106.8,102.9,3.9,27.8,102.4,0.532,0.491,15.0,35.2,0.467,49.0,33.0
New Jersey Nets,1980,101.5,102.5,-1.0,25.5,106.1,0.518,0.466,16.6,32.1,0.472,34.0,48.0
New York Knicks,1980,106.5,107.5,-1.0,27.6,106.5,0.539,0.498,15.7,33.7,0.498,39.0,43.0
Philadelphia 76ers,1980,105.0,101.0,4.0,27.1,103.0,0.544,0.494,17.2,33.5,0.46,59.0,23.0
Phoenix Suns,1980,105.6,102.2,3.4,27.8,104.8,0.548,0.498,16.4,30.4,0.483,55.0,27.0
Portland Trail Blazers,1980,103.4,104.3,-0.9,23.1,98.6,0.519,0.477,16.1,35.5,0.482,38.0,44.0
San Antonio Spurs,1980,108.6,109.0,-0.4,28.4,109.5,0.553,0.502,15.2,31.8,0.506,41.0,41.0
