team,season,o_rtg,d_rtg,n_rtg,ast_per_game,pace,ts_percent,e_fg_percent,tov_percent,orb_percent,opp_e_fg_percent,w,l
Atlanta Hawks,1989,112.2,107.2,5.0,24.3,98.3,0.54,0.48,13.5,37.1,0.482,52.0,30.0
Boston Celtics,1989,110.8,109.6,1.2,26.7,98.1,0.548,0.498,14.0,34.7,0.493,42.0,40.0
Charlotte Hornets,1989,103.7,112.1,-8.4,28.3,100.3,0.514,0.47,13.7,30.3,0.508,20.0,62.0
Chicago Bulls,1989,109.1,107.7,1.4,27.0,97.0,0.553,0.507,14.4,30.7,0.487,47.0,35.0
Cleveland Cavaliers,1989,110.6,102.9,7.7,27.6,98.0,0.559,0.514,14.2,31.2,0.473,57.0,25.0
Dallas Mavericks,1989,107.4,108.6,-1.2,22.8,95.9,0.536,0.484,13.5,29.5,0.48,38.0,44.0
Denver Nuggets,1989,108.6,107.1,1.5,27.8,107.5,0.528,0.482,11.8,29.6,0.505,44.0,38.0
Detroit Pistons,1989,110.8,104.7,6.1,24.7,95.5,0.551,0.502,14.4,34.5,0.458,63.0,19.0
Golden State Warriors,1989,107.4,107.7,-0.3,24.5,107.3,0.529,0.48,14.2,33.4,0.479,43.0,39.0
Houston Rockets,1989,105.7,104.8,0.9,24.6,101.8,0.535,0.486,15.9,33.3,0.481,45.0,37.0
Indiana Pacers,1989,106.8,111.0,-4.2,24.5,99.2,0.552,0.502,16.3,31.5,0.478,28.0,54.0
Los Angeles Clippers,1989,100.8,110.2,-9.4,26.9,104.4,0.518,0.478,16.5,31.2,0.497,21.0,61.0
Los Angeles Lakers,1989,113.8,106.7,7.1,27.8,100.1,0.57,0.518,14.0,33.0,0.482,57.0,25.0
Miami Heat,1989,97.8,109.0,-11.2,23.9,99.1,0.498,0.459,17.7,35.6,0.499,15.0,67.0
Milwaukee Bucks,1989,110.1,106.4,3.7,25.3,98.6,0.544,0.487,13.7,32.7,0.493,49.0,33.0
New Jersey Nets,1989,103.0,109.3,-6.3,21.9,100.1,0.517,0.474,15.0,32.7,0.508,26.0,56.0
New York Knicks,1989,111.1,107.5,3.6,25.4,104.4,0.553,0.512,15.4,36.2,0.504,52.0,30.0
Philadelphia 76ers,1989,113.0,111.5,1.5,25.7,98.5,0.552,0.5,12.8,32.2,0.513,46.0,36.0
Phoenix Suns,1989,113.1,105.7,7.4,27.8,104.5,0.56,0.509,12.8,30.8,0.476,55.0,27.0
Portland Trail Blazers,1989,109.4,108.0,1.4,27.0,103.9,0.53,0.488,13.9,36.7,0.501,39.0,43.0
Sacramento Kings,1989,104.5,110.0,-5.5,24.0,100.5,0.523,0.478,14.2,30.5,0.496,27.0,55.0
San Antonio Spurs,1989,100.9,107.9,-7.0,24.8,104.1,0.512,0.472,16.8,34.5,0.5,21.0,61.0
Seattle SuperSonics,1989,111.5,108.6,2.9,25.4,100.1,0.539,0.496,14.1,38.3,0.498,47.0,35.0
Utah Jazz,1989,106.6,101.5,5.1,25.7,98.0,0.55,0.491,16.4,32.0,0.447,51.0,31.0
Washington Bullets,1989,106.4,108.5,-2.1,25.0,100.8,0.516,0.467,13.0,33.1,0.493,40.0,42.0
Atlanta Hawks,1988,111.3,107.6,3.7,25.1,96.4,0.541,0.491,13.0,34.3,0.481,50.0,32.0
Boston Celtics,1988,115.4,109.4,6.0,29.9,97.9,0.588,0.541,14.1,29.8,0.489,57.0,25.0
Chicago Bulls,1988,109.0,105.5,3.5,26.2,95.5,0.539,0.494,13.6,34.0,0.478,50.0,32.0
Cleveland Cavaliers,1988,106.8,106.0,0.8,25.2,97.3,0.547,0.5,15.5,31.0,0.485,42.0,40.0
Dallas Mavericks,1988,112.2,107.7,4.5,24.2,97.0,0.54,0.485,13.2,37.5,0.481,53.0,29.0
Denver Nuggets,1988,110.1,106.3,3.8,28.0,105.5,0.534,0.486,11.7,29.7,0.498,54.0,28.0
Detroit Pistons,1988,110.5,105.3,5.2,24.5,98.3,0.548,0.497,14.2,34.2,0.475,54.0,28.0
Golden State Warriors,1988,104.7,112.9,-8.2,24.5,101.6,0.524,0.474,14.3,31.2,0.511,20.0,62.0
Houston Rockets,1988,107.1,105.7,1.4,23.6,101.8,0.529,0.476,13.9,33.1,0.473,46.0,36.0
Indiana Pacers,1988,106.6,107.4,-0.8,24.1,98.0,0.535,0.492,14.1,30.1,0.481,38.0,44.0
Los Angeles Clippers,1988,97.4,107.6,-10.2,23.0,100.8,0.494,0.449,15.7,30.9,0.486,17.0,65.0
Los Angeles Lakers,1988,113.1,107.3,5.8,28.6,99.1,0.566,0.515,13.9,32.3,0.484,62.0,20.0
Milwaukee Bucks,1988,108.2,107.6,0.6,26.8,97.6,0.536,0.485,13.6,31.8,0.483,42.0,40.0
New Jersey Nets,1988,101.4,109.6,-8.2,21.9,98.6,0.523,0.478,16.0,30.4,0.506,19.0,63.0
New York Knicks,1988,105.9,106.4,-0.5,24.5,99.1,0.525,0.477,15.5,36.0,0.486,38.0,44.0
Philadelphia 76ers,1988,108.8,110.3,-1.5,23.1,96.0,0.543,0.485,15.2,35.4,0.506,36.0,46.0
Phoenix Suns,1988,107.0,111.4,-4.4,28.4,101.2,0.538,0.494,14.6,31.5,0.507,28.0,54.0
Portland Trail Blazers,1988,111.8,107.4,4.4,28.1,103.6,0.55,0.499,13.5,34.3,0.485,53.0,29.0
Sacramento Kings,1988,106.5,112.1,-5.6,25.8,100.9,0.53,0.481,14.8,33.7,0.506,24.0,58.0
San Antonio Spurs,1988,108.2,112.8,-4.6,28.6,104.4,0.54,0.499,14.1,32.0,0.512,31.0,51.0
Seattle SuperSonics,1988,110.2,108.1,2.1,26.2,100.2,0.536,0.491,13.9,36.3,0.495,44.0,38.0
Utah Jazz,1988,106.8,103.1,3.7,29.4,101.5,0.546,0.5,15.4,30.4,0.459,47.0,35.0
Washington Bullets,1988,106.5,107.2,-0.7,22.9,98.1,0.524,0.47,14.4,34.2,0.487,38.0,44.0
Atlanta Hawks,1987,112.6,105.2,7.4,25.3,97.4,0.543,0.49,13.3,37.2,0.46,57.0,25.0
Boston Celtics,1987,113.5,106.8,6.7,29.5,98.6,0.577,0.532,14.0,29.0,0.471,59.0,23.0
Chicago Bulls,1987,108.6,107.6,1.0,26.1,95.8,0.528,0.478,13.4,35.0,0.491,40.0,42.0
Cleveland Cavaliers,1987,102.6,106.4,-3.8,23.3,101.3,0.519,0.476,16.4,34.4,0.484,31.0,51.0
Dallas Mavericks,1987,114.9,108.7,6.2,24.6,100.5,0.558,0.503,12.3,33.8,0.486,55.0,27.0
Denver Nuggets,1987,109.3,110.2,-0.9,28.3,106.2,0.527,0.478,11.8,32.2,0.503,37.0,45.0
Detroit Pistons,1987,109.2,105.8,3.4,24.6,101.0,0.544,0.492,14.5,34.7,0.471,52.0,30.0
Golden State Warriors,1987,108.9,111.2,-2.3,25.4,101.7,0.539,0.487,13.7,32.5,0.503,42.0,40.0
Houston Rockets,1987,106.5,105.5,1.0,27.2,99.9,0.528,0.483,14.3,33.5,0.47,42.0,40.0
Indiana Pacers,1987,106.0,106.6,-0.6,26.5,98.8,0.525,0.478,13.4,30.5,0.487,41.0,41.0
Los Angeles Clippers,1987,101.2,112.3,-11.1,24.0,102.7,0.508,0.457,15.0,31.8,0.526,12.0,70.0
Los Angeles Lakers,1987,115.6,106.5,9.1,29.6,101.6,0.577,0.528,14.0,34.1,0.476,65.0,17.0
Milwaukee Bucks,1987,109.5,105.6,3.9,24.9,100.3,0.539,0.487,13.0,31.1,0.479,50.0,32.0
New Jersey Nets,1987,105.6,110.5,-4.9,24.3,101.8,0.54,0.487,16.4,33.2,0.488,24.0,58.0
New York Knicks,1987,104.8,111.1,-6.3,23.7,98.5,0.528,0.483,15.0,31.2,0.497,24.0,58.0
Philadelphia 76ers,1987,108.3,108.5,-0.2,23.7,97.3,0.549,0.497,16.1,34.9,0.499,45.0,37.0
Phoenix Suns,1987,108.0,110.3,-2.3,28.7,102.0,0.55,0.501,15.3,32.1,0.502,36.0,46.0
Portland Trail Blazers,1987,111.5,108.6,2.9,28.8,105.0,0.566,0.51,15.3,34.1,0.493,49.0,33.0
Sacramento Kings,1987,108.9,112.1,-3.2,26.6,101.3,0.535,0.48,14.2,35.2,0.498,29.0,53.0
San Antonio Spurs,1987,105.9,110.8,-4.9,27.1,101.7,0.525,0.482,14.2,34.3,0.514,28.0,54.0
Seattle SuperSonics,1987,110.7,110.3,0.4,26.6,101.8,0.543,0.495,15.0,37.6,0.486,39.0,43.0
Utah Jazz,1987,104.1,103.7,0.4,27.3,103.2,0.516,0.473,14.1,31.2,0.466,44.0,38.0
Washington Bullets,1987,105.7,107.0,-1.3,21.3,100.2,0.511,0.457,13.3,34.5,0.48,42.0,40.0
Atlanta Hawks,1986,107.9,105.6,2.3,24.7,100.0,0.542,0.493,15.3,34.9,0.481,50.0,32.0
