team,season,o_rtg,d_rtg,n_rtg,ast_per_game,pace,ts_percent,e_fg_percent,tov_percent,orb_percent,opp_e_fg_percent,w,l
Memphis Grizzlies,2012,104.0,101.8,2.2,19.5,90.8,0.515,0.473,13.6,29.8,0.485,41.0,25.0
Miami Heat,2012,106.6,100.2,6.4,20.0,91.2,0.549,0.505,14.5,26.6,0.479,46.0,20.0
Milwaukee Bucks,2012,105.5,105.2,0.3,23.5,93.7,0.521,0.481,12.9,27.7,0.489,31.0,35.0
Minnesota Timberwolves,2012,104.3,106.6,-2.3,19.5,93.3,0.524,0.477,14.0,27.5,0.491,26.0,40.0
New Jersey Nets,2012,102.9,109.6,-6.7,19.9,90.1,0.516,0.473,14.3,27.8,0.513,22.0,44.0
New Orleans Hornets,2012,100.9,105.1,-4.2,20.7,88.3,0.517,0.476,15.2,27.5,0.485,21.0,45.0
New York Knicks,2012,104.4,101.0,3.4,20.1,93.2,0.533,0.492,14.9,26.6,0.485,36.0,30.0
Oklahoma City Thunder,2012,109.8,103.2,6.6,18.5,93.0,0.567,0.516,15.3,27.8,0.465,47.0,19.0
Orlando Magic,2012,105.0,104.1,0.9,20.0,89.0,0.533,0.506,14.5,26.5,0.488,37.0,29.0
Philadelphia 76ers,2012,103.9,99.2,4.7,22.0,89.7,0.511,0.48,10.9,24.4,0.46,35.0,31.0
Phoenix Suns,2012,106.2,106.5,-0.3,22.5,92.6,0.536,0.499,13.3,25.8,0.491,33.0,33.0
Portland Trail Blazers,2012,105.7,106.4,-0.7,20.4,91.2,0.531,0.488,13.4,26.3,0.504,28.0,38.0
Sacramento Kings,2012,103.8,109.8,-6.0,19.3,94.7,0.51,0.472,13.0,29.1,0.515,22.0,44.0
San Antonio Spurs,2012,110.9,103.2,7.7,23.2,92.9,0.562,0.528,12.8,25.1,0.489,50.0,16.0
Toronto Raptors,2012,100.8,104.5,-3.7,20.9,89.3,0.518,0.475,14.8,25.9,0.475,23.0,43.0
Utah Jazz,2012,106.8,106.1,0.7,21.8,91.4,0.525,0.481,13.0,30.2,0.493,36.0,30.0
Washington Wizards,2012,101.0,106.2,-5.2,19.1,92.5,0.508,0.472,14.2,27.3,0.492,20.0,46.0
Atlanta Hawks,2011,106.1,107.0,-0.9,22.0,89.3,0.542,0.501,13.5,23.4,0.495,44.0,38.0
Boston Celtics,2011,106.2,100.3,5.9,23.4,90.4,0.561,0.519,14.5,21.1,0.469,56.0,26.0
Charlotte Bobcats,2011,103.4,107.8,-4.4,21.1,89.6,0.528,0.482,14.1,25.7,0.5,34.0,48.0
Chicago Bulls,2011,108.3,100.3,8.0,22.3,90.4,0.541,0.501,13.5,29.4,0.463,62.0,20.0
Cleveland Cavaliers,2011,102.2,111.8,-9.6,21.0,93.0,0.518,0.472,13.4,24.2,0.524,19.0,63.0
Dallas Mavericks,2011,109.7,105.0,4.7,23.8,91.3,0.565,0.525,13.6,24.1,0.488,57.0,25.0
Denver Nuggets,2011,112.3,107.3,5.0,22.1,95.6,0.574,0.526,13.1,23.9,0.5,50.0,32.0
Detroit Pistons,2011,107.7,111.7,-4.0,21.1,89.2,0.533,0.495,12.5,27.4,0.526,30.0,52.0
Golden State Warriors,2011,108.2,110.7,-2.5,22.5,94.8,0.544,0.51,13.3,26.7,0.509,36.0,46.0
Houston Rockets,2011,111.3,109.0,2.3,23.8,94.2,0.55,0.503,12.3,27.4,0.5,43.0,39.0
Indiana Pacers,2011,104.8,106.0,-1.2,19.6,94.7,0.533,0.486,14.1,25.9,0.487,37.0,45.0
Los Angeles Clippers,2011,105.3,108.7,-3.4,22.1,92.8,0.535,0.496,15.1,28.4,0.499,32.0,50.0
Los Angeles Lakers,2011,111.0,104.3,6.7,22.0,90.7,0.545,0.502,12.3,29.2,0.477,57.0,25.0
Memphis Grizzlies,2011,107.6,105.1,2.5,20.6,91.9,0.534,0.493,13.0,28.9,0.502,46.0,36.0
Miami Heat,2011,111.7,103.5,8.2,20.0,90.9,0.573,0.524,13.5,25.2,0.475,58.0,24.0
Milwaukee Bucks,2011,101.6,102.5,-0.9,18.8,89.8,0.511,0.467,13.0,24.7,0.481,35.0,47.0
Minnesota Timberwolves,2011,104.2,111.1,-6.9,20.1,96.5,0.526,0.483,15.1,29.6,0.514,17.0,65.0
New Jersey Nets,2011,103.1,109.9,-6.8,21.0,89.9,0.517,0.474,13.4,26.1,0.503,24.0,58.0
New Orleans Hornets,2011,106.2,105.2,1.0,20.6,88.7,0.537,0.493,12.8,25.1,0.501,46.0,36.0
New York Knicks,2011,110.9,110.1,0.8,21.4,95.6,0.561,0.513,12.6,24.2,0.511,42.0,40.0
Oklahoma City Thunder,2011,111.2,107.2,4.0,20.4,92.7,0.561,0.501,13.1,27.4,0.493,55.0,27.0
Orlando Magic,2011,107.9,102.0,5.9,20.0,91.2,0.554,0.521,14.3,26.1,0.475,52.0,30.0
Philadelphia 76ers,2011,106.6,105.0,1.6,22.7,91.7,0.535,0.494,12.3,24.6,0.487,41.0,41.0
Phoenix Suns,2011,109.5,110.4,-0.9,23.7,94.4,0.559,0.522,13.2,23.7,0.513,40.0,42.0
Portland Trail Blazers,2011,108.8,107.1,1.7,21.2,87.9,0.533,0.486,12.6,29.5,0.51,48.0,34.0
Sacramento Kings,2011,103.5,109.0,-5.5,20.4,95.2,0.519,0.48,14.4,29.9,0.513,24.0,58.0
San Antonio Spurs,2011,111.8,105.6,6.2,22.4,92.3,0.567,0.527,12.8,24.9,0.491,61.0,21.0
Toronto Raptors,2011,106.1,112.9,-6.8,21.9,92.9,0.533,0.491,13.7,28.2,0.522,22.0,60.0
Utah Jazz,2011,108.1,110.1,-2.0,23.4,91.0,0.544,0.498,13.5,27.0,0.505,39.0,43.0
Washington Wizards,2011,102.4,110.2,-7.8,19.4,93.8,0.513,0.471,13.9,28.0,0.512,23.0,59.0
Atlanta Hawks,2010,111.9,106.7,5.2,21.8,90.1,0.545,0.506,11.4,28.2,0.496,53.0,29.0
Boston Celtics,2010,107.7,103.8,3.9,23.5,91.6,0.564,0.522,14.5,22.8,0.487,50.0,32.0
Charlotte Bobcats,2010,104.4,102.8,1.6,20.2,90.4,0.538,0.49,15.1,26.5,0.491,44.0,38.0
Chicago Bulls,2010,103.5,105.3,-1.8,20.8,93.1,0.52,0.477,13.3,26.6,0.484,41.0,41.0
Cleveland Cavaliers,2010,111.2,104.1,7.1,22.4,91.4,0.57,0.532,13.4,25.1,0.482,61.0,21.0
Dallas Mavericks,2010,109.2,106.3,2.9,23.4,92.5,0.552,0.506,12.3,24.3,0.495,55.0,27.0
Denver Nuggets,2010,111.8,107.5,4.3,21.0,94.8,0.561,0.509,12.7,26.1,0.495,53.0,29.0
Detroit Pistons,2010,105.6,111.4,-5.8,19.4,88.5,0.515,0.474,12.8,30.3,0.526,27.0,55.0
Golden State Warriors,2010,108.1,111.7,-3.6,22.4,100.4,0.557,0.514,13.1,20.9,0.525,26.0,56.0
Houston Rockets,2010,107.6,108.0,-0.4,21.8,94.0,0.537,0.494,13.2,26.9,0.511,42.0,40.0
Indiana Pacers,2010,103.7,106.8,-3.1,21.1,97.1,0.536,0.491,13.8,21.6,0.49,32.0,50.0
Los Angeles Clippers,2010,103.3,110.1,-6.8,22.1,92.6,0.529,0.491,14.8,27.1,0.509,29.0,53.0
Los Angeles Lakers,2010,108.8,103.7,5.1,21.1,92.8,0.538,0.496,12.4,27.6,0.484,57.0,25.0
Memphis Grizzlies,2010,108.3,109.9,-1.6,18.8,93.6,0.536,0.494,13.7,31.3,0.52,40.0,42.0
Miami Heat,2010,106.6,104.1,2.5,18.9,89.6,0.537,0.496,12.8,26.1,0.48,47.0,35.0
Milwaukee Bucks,2010,104.9,103.1,1.8,21.2,91.7,0.518,0.482,12.3,26.2,0.486,46.0,36.0
Minnesota Timberwolves,2010,101.7,111.6,-9.9,19.8,96.1,0.518,0.478,14.6,26.7,0.525,15.0,67.0
New Jersey Nets,2010,100.6,110.5,-9.9,18.8,91.4,0.509,0.458,13.7,25.1,0.517,12.0,70.0
New Orleans Hornets,2010,107.4,110.1,-2.7,22.3,92.6,0.543,0.506,12.7,24.8,0.523,37.0,45.0
New York Knicks,2010,107.6,111.6,-4.0,21.6,94.0,0.547,0.509,13.0,23.5,0.526,29.0,53.0
Oklahoma City Thunder,2010,108.3,104.6,3.7,20.0,93.1,0.547,0.494,13.9,28.6,0.483,50.0,32.0
Orlando Magic,2010,111.4,103.3,8.1,19.7,92.0,0.573,0.536,13.6,24.6,0.477,59.0,23.0
Philadelphia 76ers,2010,106.1,110.3,-4.2,21.0,91.6,0.534,0.496,13.7,27.6,0.518,27.0,55.0
Phoenix Suns,2010,115.3,110.2,5.1,23.3,95.3,0.585,0.546,13.6,27.6,0.491,54.0,28.0
Portland Trail Blazers,2010,110.8,107.1,3.7,20.4,87.7,0.547,0.499,12.1,28.2,0.502,50.0,32.0
Sacramento Kings,2010,105.3,109.9,-4.6,20.5,94.0,0.528,0.491,13.6,27.8,0.505,25.0,57.0
San Antonio Spurs,2010,110.0,104.5,5.5,22.3,91.7,0.552,0.515,12.9,26.8,0.483,50.0,32.0
Toronto Raptors,2010,111.3,113.2,-1.9,22.0,93.1,0.564,0.521,12.7,24.7,0.513,40.0,42.0
Utah Jazz,2010,110.7,105.0,5.7,26.7,93.8,0.565,0.524,14.2,26.8,0.492,53.0,29.0
Washington Wizards,2010,104.2,109.4,-5.2,19.0,91.6,0.524,0.481,13.9,27.6,0.502,26.0,56.0
