team,season,o_rtg,d_rtg,n_rtg,ast_per_game,pace,ts_percent,e_fg_percent,tov_percent,orb_percent,opp_e_fg_percent,w,l
Orlando Magic,2018,105.2,110.1,-4.9,23.4,98.1,0.545,0.512,13.3,20.0,0.525,25.0,57.0
Philadelphia 76ers,2018,109.5,105.0,4.5,27.1,99.8,0.568,0.535,14.6,25.3,0.492,52.0,30.0
Phoenix Suns,2018,103.5,112.8,-9.3,21.3,100.3,0.532,0.495,13.9,22.5,0.533,21.0,61.0
Portland Trail Blazers,2018,109.1,106.4,2.7,19.5,96.5,0.549,0.511,12.3,23.3,0.503,49.0,33.0
Sacramento Kings,2018,103.7,111.1,-7.4,21.6,94.9,0.529,0.502,12.8,21.5,0.542,27.0,55.0
San Antonio Spurs,2018,107.9,104.8,3.1,22.8,95.0,0.543,0.507,12.2,23.7,0.507,47.0,35.0
Toronto Raptors,2018,113.8,105.9,7.9,24.3,97.4,0.575,0.539,12.1,23.0,0.501,59.0,23.0
Utah Jazz,2018,108.4,103.9,4.5,22.4,95.7,0.564,0.527,13.7,21.5,0.506,48.0,34.0
Washington Wizards,2018,109.3,108.7,0.6,25.2,96.6,0.56,0.525,13.3,23.5,0.522,43.0,39.0
Atlanta Hawks,2017,104.9,105.7,-0.8,23.6,97.4,0.541,0.504,14.2,23.6,0.507,43.0,39.0
Boston Celtics,2017,111.2,108.4,2.8,25.2,96.8,0.567,0.525,12.2,21.2,0.503,53.0,29.0
Brooklyn Nets,2017,104.1,110.7,-6.6,21.4,101.3,0.551,0.507,14.7,19.6,0.513,20.0,62.0
Chicago Bulls,2017,107.4,107.0,0.4,22.6,95.3,0.53,0.487,12.3,27.0,0.507,41.0,41.0
Charlotte Hornets,2017,108.8,108.6,0.2,23.1,95.7,0.547,0.501,10.7,19.9,0.523,36.0,46.0
Cleveland Cavaliers,2017,113.6,110.3,3.3,22.7,96.2,0.58,0.547,12.6,21.9,0.516,51.0,31.0
Dallas Mavericks,2017,105.6,108.8,-3.2,20.8,92.2,0.541,0.505,11.6,18.1,0.529,33.0,49.0
Denver Nuggets,2017,113.2,112.7,0.5,25.3,98.3,0.568,0.53,13.2,27.3,0.532,40.0,42.0
Detroit Pistons,2017,106.0,107.1,-1.1,21.1,95.0,0.521,0.492,10.9,24.1,0.516,37.0,45.0
Golden State Warriors,2017,115.6,104.0,11.6,30.4,99.8,0.597,0.563,13.2,22.8,0.486,67.0,15.0
Houston Rockets,2017,114.7,109.0,5.7,25.2,100.0,0.583,0.545,13.3,24.6,0.519,55.0,27.0
Indiana Pacers,2017,108.6,108.8,-0.2,22.5,95.9,0.558,0.516,12.8,21.2,0.512,42.0,40.0
Los Angeles Clippers,2017,112.7,108.2,4.5,22.5,96.1,0.574,0.537,12.0,21.5,0.506,51.0,31.0
Los Angeles Lakers,2017,106.0,113.0,-7.0,20.9,98.5,0.537,0.501,13.5,25.0,0.542,26.0,56.0
Memphis Grizzlies,2017,107.7,107.1,0.6,21.3,92.3,0.535,0.491,12.1,24.8,0.506,43.0,39.0
Miami Heat,2017,107.8,106.7,1.1,21.2,95.2,0.541,0.512,12.4,24.2,0.496,41.0,41.0
Milwaukee Bucks,2017,109.1,109.3,-0.2,24.2,94.5,0.565,0.527,13.2,21.5,0.518,42.0,40.0
Minnesota Timberwolves,2017,110.8,112.0,-1.2,23.7,94.6,0.555,0.511,12.9,27.2,0.535,31.0,51.0
New Orleans Pelicans,2017,105.2,107.4,-2.2,22.8,98.0,0.539,0.504,11.7,18.5,0.509,34.0,48.0
New York Knicks,2017,107.7,111.5,-3.8,21.8,96.0,0.534,0.496,12.4,26.6,0.511,31.0,51.0
Oklahoma City Thunder,2017,108.3,107.5,0.8,21.0,97.8,0.54,0.5,13.2,27.9,0.511,47.0,35.0
Orlando Magic,2017,103.7,110.5,-6.8,22.2,96.8,0.524,0.489,12.1,21.6,0.523,29.0,53.0
Philadelphia 76ers,2017,103.2,108.9,-5.7,23.8,98.5,0.539,0.501,14.9,22.4,0.512,28.0,54.0
Phoenix Suns,2017,106.6,112.2,-5.6,19.6,100.3,0.538,0.493,13.4,26.0,0.525,24.0,58.0
Portland Trail Blazers,2017,110.3,110.8,-0.5,21.1,96.7,0.559,0.52,12.5,23.0,0.508,41.0,41.0
Sacramento Kings,2017,107.3,111.3,-4.0,22.5,94.9,0.556,0.516,13.7,21.0,0.528,32.0,50.0
San Antonio Spurs,2017,111.1,103.5,7.6,23.8,94.2,0.564,0.524,12.6,24.0,0.492,61.0,21.0
Toronto Raptors,2017,112.3,107.8,4.5,18.5,94.7,0.561,0.517,11.8,25.0,0.507,51.0,31.0
Utah Jazz,2017,109.6,105.3,4.3,20.1,91.6,0.563,0.526,13.2,23.2,0.493,51.0,31.0
Washington Wizards,2017,111.2,109.3,1.9,23.9,97.4,0.564,0.528,12.8,24.1,0.524,49.0,33.0
Atlanta Hawks,2016,105.1,101.4,3.7,25.6,97.1,0.552,0.516,13.8,19.1,0.48,48.0,34.0
Boston Celtics,2016,106.8,103.6,3.2,24.2,98.5,0.531,0.488,12.1,25.1,0.487,48.0,34.0
Brooklyn Nets,2016,103.2,110.9,-7.7,22.3,95.2,0.527,0.492,13.6,24.1,0.534,21.0,61.0
Chicago Bulls,2016,105.0,106.5,-1.5,22.8,95.7,0.526,0.487,12.6,24.5,0.485,42.0,40.0
Charlotte Hornets,2016,107.1,104.3,2.8,21.7,95.7,0.545,0.502,11.7,20.0,0.496,48.0,34.0
Cleveland Cavaliers,2016,110.9,104.5,6.4,22.7,93.3,0.558,0.524,12.7,25.1,0.496,57.0,25.0
Dallas Mavericks,2016,106.7,107.0,-0.3,22.1,94.3,0.544,0.502,12.0,20.6,0.504,42.0,40.0
Denver Nuggets,2016,105.6,108.9,-3.3,22.7,95.7,0.531,0.489,13.2,25.8,0.515,33.0,49.0
Detroit Pistons,2016,106.1,105.5,0.6,19.4,95.1,0.522,0.491,12.2,27.0,0.504,44.0,38.0
Golden State Warriors,2016,114.5,103.8,10.7,28.9,99.3,0.593,0.563,13.5,23.5,0.479,73.0,9.0
Houston Rockets,2016,108.3,108.1,0.2,22.2,97.6,0.553,0.516,14.2,25.7,0.516,41.0,41.0
Indiana Pacers,2016,104.6,102.9,1.7,21.2,96.6,0.536,0.497,13.5,23.4,0.489,45.0,37.0
Los Angeles Clippers,2016,108.3,103.8,4.5,22.8,95.8,0.556,0.524,12.1,20.1,0.48,53.0,29.0
Los Angeles Lakers,2016,101.6,111.6,-10.0,18.0,95.6,0.509,0.46,12.5,23.1,0.523,17.0,65.0
Memphis Grizzlies,2016,105.4,107.8,-2.4,20.7,93.3,0.524,0.477,12.3,25.3,0.518,42.0,40.0
Miami Heat,2016,106.1,104.4,1.7,20.8,93.6,0.545,0.508,13.3,23.8,0.485,48.0,34.0
Milwaukee Bucks,2016,104.3,108.7,-4.4,23.1,94.2,0.537,0.499,14.2,24.9,0.51,33.0,49.0
Minnesota Timberwolves,2016,106.5,110.1,-3.6,23.4,95.2,0.549,0.498,13.9,24.3,0.524,29.0,53.0
New Orleans Pelicans,2016,105.6,109.5,-3.9,22.2,96.8,0.537,0.498,12.3,21.2,0.523,30.0,52.0
New York Knicks,2016,104.6,107.6,-3.0,20.5,93.4,0.527,0.483,12.6,23.7,0.487,32.0,50.0
Oklahoma City Thunder,2016,113.1,105.6,7.5,23.0,96.7,0.565,0.524,14.0,31.1,0.484,55.0,27.0
Orlando Magic,2016,105.1,106.8,-1.7,23.6,96.0,0.533,0.5,12.8,23.1,0.513,35.0,47.0
Philadelphia 76ers,2016,98.8,109.2,-10.4,21.5,97.9,0.519,0.487,14.8,20.6,0.51,10.0,72.0
Phoenix Suns,2016,102.2,109.0,-6.8,20.7,98.5,0.526,0.487,15.2,25.4,0.523,23.0,59.0
