season,lg_x,team,abbreviation_x,playoffs_x,age,w,l,pw,pl,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,opp_drb_percent,opp_ft_fga,arena,attend,attend_g,lg_y,abbreviation_y,playoffs_y,g,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
2025,NBA,Atlanta Hawks,ATL,False,25.0,36.0,38.0,34.0,40.0,-1.58,-0.02,-1.61,114.0,115.6,-1.6,102.8,0.254,0.408,0.577,0.543,13.2,26.2,0.197,0.56,13.9,76.0,0.203,State Farm Arena,590245.0,16396.0,NBA,ATL,False,74.0,241.4,43.2,91.9,0.47,13.3,37.5,0.356,29.9,54.4,0.549,18.1,23.4,0.774,11.9,32.6,44.5,29.5,9.8,5.2,15.6,19.1,117.9
2025,NBA,Boston Celtics,BOS,False,29.0,56.0,19.0,57.0,18.0,9.19,-0.52,8.67,120.6,111.2,9.4,96.2,0.217,0.538,0.592,0.562,10.7,25.1,0.173,0.524,11.7,76.4,0.157,TD Garden,689616.0,19156.0,NBA,BOS,False,75.0,241.7,41.7,90.1,0.463,17.9,48.5,0.37,23.7,41.6,0.571,15.6,19.5,0.8,11.1,33.9,45.1,26.1,7.3,5.5,11.8,16.1,116.9
2025,NBA,Brooklyn Nets,BRK,False,24.8,25.0,51.0,23.0,53.0,-6.63,0.16,-6.47,108.8,115.7,-6.9,96.2,0.241,0.457,0.552,0.515,13.6,24.9,0.19,0.555,13.6,74.9,0.217,Barclays Center,626112.0,17392.0,NBA,BRK,False,76.0,241.3,37.6,86.2,0.437,13.5,39.4,0.344,24.1,46.8,0.515,16.4,20.8,0.789,11.1,30.3,41.4,25.0,7.8,4.4,15.1,20.6,105.2
2025,NBA,Chicago Bulls,CHI,False,25.2,33.0,42.0,32.0,43.0,-2.69,0.09,-2.6,113.6,116.2,-2.6,102.9,0.211,0.461,0.583,0.552,12.7,21.9,0.17,0.542,10.7,76.5,0.181,United Center,742173.0,20059.0,NBA,CHI,False,75.0,241.0,43.1,92.2,0.467,15.6,42.5,0.367,27.4,49.7,0.553,15.6,19.4,0.805,9.9,35.5,45.4,29.0,7.5,4.7,14.6,17.8,117.3
2025,NBA,Charlotte Hornets,CHO,False,25.1,19.0,56.0,20.0,55.0,-7.99,-0.26,-8.25,107.7,115.8,-8.1,97.6,0.218,0.432,0.537,0.503,13.6,26.9,0.172,0.545,12.1,74.5,0.194,Spectrum Center,652415.0,17169.0,NBA,CHO,False,75.0,241.0,38.5,89.6,0.429,13.2,38.7,0.341,25.3,50.9,0.496,15.4,19.6,0.787,12.4,32.9,45.3,24.5,7.6,4.6,15.4,18.9,105.6
2025,NBA,Cleveland Cavaliers,CLE,False,26.7,60.0,15.0,58.0,17.0,10.01,-0.87,9.14,122.3,112.3,10.0,99.9,0.246,0.456,0.61,0.58,11.5,25.6,0.193,0.528,12.7,74.7,0.182,Rocket Arena,718984.0,19432.0,NBA,CLE,False,75.0,240.3,44.5,90.5,0.492,15.8,41.3,0.384,28.7,49.2,0.583,17.5,22.2,0.785,11.0,34.2,45.2,28.2,8.2,4.3,13.0,18.2,122.3
2025,NBA,Dallas Mavericks,DAL,False,27.6,37.0,39.0,37.0,39.0,-0.24,0.37,0.13,115.4,115.7,-0.3,99.2,0.26,0.393,0.584,0.55,12.3,23.5,0.202,0.539,11.8,73.2,0.181,American Airlines Center,742179.0,20059.0,NBA,DAL,False,76.0,240.7,42.2,88.3,0.478,12.7,34.6,0.367,29.5,53.6,0.55,17.8,23.0,0.774,10.2,32.9,43.1,25.3,7.9,5.4,13.7,18.0,114.9
2025,NBA,Denver Nuggets,DEN,False,26.9,47.0,28.0,47.0,28.0,4.2,-0.12,4.08,120.1,115.9,4.2,100.0,0.254,0.355,0.604,0.574,12.5,27.0,0.196,0.541,11.4,74.5,0.176,Ball Arena,731813.0,19779.0,NBA,DEN,False,75.0,241.7,45.6,89.9,0.507,12.1,31.9,0.381,33.4,58.1,0.576,17.6,22.9,0.77,11.3,34.3,45.6,31.1,8.1,4.9,14.3,17.7,120.9
2025,NBA,Detroit Pistons,DET,False,25.8,42.0,33.0,43.0,32.0,2.4,-0.48,1.92,115.0,112.6,2.4,99.9,0.249,0.392,0.581,0.548,13.2,26.4,0.194,0.539,13.4,76.5,0.215,Little Caesars Arena,702535.0,18987.0,NBA,DET,False,75.0,241.3,42.7,89.6,0.477,12.8,35.1,0.363,29.9,54.5,0.55,17.3,22.3,0.778,11.4,33.7,45.1,26.4,8.1,5.2,15.1,20.7,115.5
2025,NBA,Golden State Warriors,GSW,False,28.6,43.0,31.0,43.0,31.0,2.76,0.17,2.93,114.5,111.7,2.8,98.9,0.24,0.466,0.566,0.535,12.2,27.2,0.181,0.54,13.9,75.8,0.191,Chase Center,668368.0,18064.0,NBA,GSW,False,74.0,240.3,40.9,90.7,0.45,15.3,42.3,0.361,25.6,48.4,0.528,16.4,21.8,0.755,12.6,33.0,45.6,29.1,9.2,4.9,14.0,19.3,113.4
