,o_rtg,d_rtg,n_rtg,ast_per_game,pace,ts_percent,e_fg_percent,tov_percent,orb_percent,opp_e_fg_percent,w,l,team,season,Champion
48,114.4,112.5,1.9,25.9,99.1,0.582,0.543,12.9,24.7,0.543,42.0,40.0,New Orleans Pelicans,2023,0
49,117.8,114.8,3.0,22.9,97.1,0.577,0.541,11.4,28.3,0.536,47.0,35.0,New York Knicks,2023,0
50,115.2,114.2,1.0,24.4,101.1,0.57,0.531,11.2,24.7,0.547,40.0,42.0,Oklahoma City Thunder,2023,0
51,111.6,114.2,-2.6,23.2,99.3,0.573,0.532,13.4,23.8,0.55,34.0,48.0,Orlando Magic,2023,0
52,117.7,113.3,4.4,25.2,96.9,0.608,0.563,12.6,21.6,0.541,54.0,28.0,Philadelphia 76ers,2023,0
53,115.1,113.0,2.1,27.3,98.2,0.57,0.535,12.0,26.6,0.532,45.0,37.0,Phoenix Suns,2023,0
54,114.8,118.8,-4.0,24.2,98.6,0.589,0.549,13.1,22.4,0.563,33.0,49.0,Portland Trail Blazers,2023,0
55,119.4,116.8,2.6,27.3,100.3,0.608,0.572,12.0,22.7,0.563,48.0,34.0,Sacramento Kings,2023,0
56,110.2,120.0,-9.8,27.2,101.6,0.554,0.525,13.0,25.6,0.576,22.0,60.0,San Antonio Spurs,2023,0
57,115.5,114.0,1.5,23.9,97.1,0.555,0.517,10.3,27.8,0.565,41.0,41.0,Toronto Raptors,2023,0
58,115.8,116.7,-0.9,26.0,100.5,0.584,0.547,13.3,26.8,0.541,37.0,45.0,Utah Jazz,2023,0
59,114.4,115.6,-1.2,25.4,98.5,0.585,0.55,12.7,22.6,0.54,35.0,47.0,Washington Wizards,2023,0
60,116.5,114.9,1.6,24.6,97.7,0.581,0.543,10.8,23.0,0.543,43.0,39.0,Atlanta Hawks,2022,0
61,114.4,106.9,7.5,24.8,96.6,0.578,0.542,12.4,24.0,0.502,51.0,31.0,Boston Celtics,2022,0
62,113.6,112.8,0.8,25.3,99.0,0.576,0.54,12.5,23.9,0.521,44.0,38.0,Brooklyn Nets,2022,0
63,113.2,113.6,-0.4,23.9,98.3,0.579,0.541,11.8,20.4,0.541,46.0,36.0,Chicago Bulls,2022,0
64,114.1,113.7,0.4,28.1,100.0,0.572,0.544,11.6,23.3,0.544,43.0,39.0,Charlotte Hornets,2022,0
65,111.9,109.7,2.2,25.2,96.1,0.571,0.538,13.2,24.0,0.52,44.0,38.0,Cleveland Cavaliers,2022,0
66,112.8,109.4,3.4,23.4,95.4,0.572,0.538,11.7,21.3,0.521,52.0,30.0,Dallas Mavericks,2022,0
67,114.5,112.1,2.4,27.8,97.8,0.59,0.556,13.2,21.9,0.537,48.0,34.0,Denver Nuggets,2022,0
68,106.0,113.8,-7.8,23.5,98.4,0.533,0.494,12.6,23.4,0.541,23.0,59.0,Detroit Pistons,2022,0
69,112.5,106.9,5.6,27.1,98.4,0.582,0.552,13.5,22.8,0.509,53.0,29.0,Golden State Warriors,2022,1
70,108.4,116.7,-8.3,23.6,100.9,0.565,0.534,14.5,21.7,0.554,20.0,62.0,Houston Rockets,2022,0
71,112.6,116.1,-3.5,25.4,98.0,0.564,0.531,12.7,25.5,0.552,25.0,57.0,Indiana Pacers,2022,0
72,110.1,110.1,0.0,24.0,98.0,0.564,0.531,12.5,20.6,0.514,42.0,40.0,Los Angeles Clippers,2022,0
73,110.3,113.3,-3.0,24.0,100.1,0.567,0.537,12.8,21.1,0.54,33.0,49.0,Los Angeles Lakers,2022,0
74,114.6,109.0,5.6,26.0,100.3,0.553,0.522,11.2,30.0,0.523,56.0,26.0,Memphis Grizzlies,2022,0
75,113.7,109.1,4.6,25.5,95.9,0.584,0.547,13.4,23.5,0.524,53.0,29.0,Miami Heat,2022,0
76,115.1,111.8,3.3,23.9,99.9,0.58,0.546,11.9,23.0,0.536,51.0,31.0,Milwaukee Bucks,2022,0
77,114.3,111.7,2.6,25.7,100.9,0.573,0.539,12.4,24.4,0.535,46.0,36.0,Minnesota Timberwolves,2022,0
78,112.0,113.0,-1.0,25.0,97.2,0.557,0.517,12.5,26.9,0.547,36.0,46.0,New Orleans Pelicans,2022,0
79,110.4,110.5,-0.1,21.9,95.9,0.55,0.513,12.0,25.1,0.521,37.0,45.0,New York Knicks,2022,0
